"Name","Location","Region / Category","Guide status","Why it is listed","Google Maps URL","Guide / booking URL"
"A Cozinha Sr. Lisboa","A Cozinha Sr Lisboa","AVENIDA / ANJOS EDGE · PORTUGUESE","RECEIVED RECOMMENDATION · PRIORITY","Intimate modern-Portuguese sharing plates in a roughly 24-seat room with a local, personal feel.","https://www.google.com/maps/search/?api=1&query=A+Cozinha+Sr+Lisboa","https://www.srlisboa.pt/a-cozinha"
"A Ginjinha","A Ginjinha Rossio Lisbon Portugal","Rossio · ginjinha","Regional specialty","Historic standing bar for Lisbon-style cherry liqueur.","https://www.google.com/maps/search/?api=1&query=A+Ginjinha+Rossio+Lisbon","https://www.google.com/maps/search/?api=1&query=A+Ginjinha+Rossio+Lisbon"
"A Nossa Casa","Rua da Atalaia 31, Lisbon, Portugal","BAIRRO ALTO · PORTUGUESE SHARING","RECEIVED RECOMMENDATION · STRONG FIT","Intimate Portuguese sharing plates with seasonal, creative touches in a small Bairro Alto room.","https://www.google.com/maps/place/A+Nossa+Casa/@38.7118452,-9.149708,17z/data=!4m6!3m5!1s0xd19353946e25371:0xc085f0ed901c4ee0!8m2!3d38.7118452!4d-9.1449444!16s%2Fg%2F11f9z8g95f","https://www.google.com/maps/place/A+Nossa+Casa/@38.7118452,-9.149708,17z/data=!4m6!3m5!1s0xd19353946e25371:0xc085f0ed901c4ee0!8m2!3d38.7118452!4d-9.1449444!16s%2Fg%2F11f9z8g95f"
"Boavista Social Club","Boavista Social Club Lisbon","CAIS DO SODRÉ · DINNER + VINYL","RECEIVED RECOMMENDATION","Seasonal sharing plates with vinyl DJs and more of a music-bar pulse than a conventional restaurant.","https://www.google.com/maps/search/?api=1&query=Boavista+Social+Club+Lisbon","https://boavistasocialclublx.com/"
"Canalha","Canalha Lisbon","BELÉM/ALCÂNTARA · MODERN","Guide recommendation","Ingredient-first Portuguese cooking near Belém, with a bustling counter-and-grill sensibility.","https://www.google.com/maps/search/?api=1&query=Canalha+Lisbon","https://www.paradigma.pt/venues/canalha"
"Cervejaria Ramiro","Cervejaria Ramiro Lisbon","INTENDENTE · SEAFOOD","Guide recommendation","The classic shellfish feast: clams, prawns, crab, barnacles, then a prego.","https://www.google.com/maps/search/?api=1&query=Cervejaria+Ramiro+Lisbon","https://www.cervejariaramiro.com/"
"Cotidiano","Cotidiano Chiado Lisbon","BAIXA / CHIADO · BRUNCH","RECEIVED RECOMMENDATION · BACKUP","Convenient all-day brunch for avocado toast, eggs Benedict, açaí, and health-conscious staples.","https://www.google.com/maps/search/?api=1&query=Cotidiano+Chiado+Lisbon","https://cotidiano.pt/"
"Da Noi","Da Noi Lisboa","MADRAGOA · ITALIAN/MEDITERRANEAN","RECEIVED RECOMMENDATION · PRIORITY","Intimate, wine-forward Italian/Mediterranean sharing plates with a seasonal, inventive approach.","https://www.google.com/maps/search/?api=1&query=Da+Noi+Lisboa","https://danoilisboa.com/"
"Damas","Damas Rua da Voz do Operario Lisbon","GRAÇA · DINNER + LIVE MUSIC","RECEIVED RECOMMENDATION · PRIORITY","Mediterranean/Portuguese small plates, natural wine, and a real local arts-and-live-music crowd.","https://www.google.com/maps/search/?api=1&query=Damas+Rua+da+Voz+do+Operario+Lisbon","https://www.google.com/maps/search/?api=1&query=Damas+Rua+da+Voz+do+Operario+Lisbon"
"Dear Breakfast","Dear Breakfast Lisbon","SEVERAL NEIGHBORHOODS · BRUNCH","RECEIVED RECOMMENDATION · BACKUP","Stylish egg-forward brunch with Turkish eggs, pancakes, and açaí in São Bento, Chiado, Alfama, and Bica.","https://www.google.com/maps/search/?api=1&query=Dear+Breakfast+Lisbon","https://dearbreakfastlisbon.tumblr.com/locations"
