"Name","Location","Category","Priority","What to buy","Price band","Hours / caveat","Google Maps URL","Official URL"
"Quinta do Noval Wine Shop","Rua da Praia 15 Pinhao Portugal","Wine boutique","Must in Pinhão","Full Quinta do Noval Port and Douro range in a dedicated riverside shop","€15–150+","Daily approximately 10:30–19:00","https://www.google.com/maps/search/?api=1&query=Quinta+do+Noval+Wine+Shop+Pinhao","https://www.quintadonoval.com/en/wine-shops"
"Time By Wine","Rua Antonio Manuel Saraiva 85B Pinhao Portugal","Independent wine boutique","Strong optional","Small-producer Douro bottles beyond the major Port houses","€10–50","Mon–Sat approximately 10:30–18:00; verify","https://www.google.com/maps/search/?api=1&query=Time+By+Wine+Pinhao","https://www.google.com/maps/search/?api=1&query=Time+By+Wine+Pinhao"
"A Presunteca de Lamego","Lamego Portugal","Regional deli","Strong optional","Presunto, smoked meats, cheeses, and local sparkling wine for edible gifts","€10–60","Small operator; call ahead","https://www.google.com/maps/search/?api=1&query=A+Presunteca+de+Lamego","https://www.facebook.com/apresuntecadelamego/"
"Coimbra na Bagagem","Rua Ferreira Borges 72 Coimbra Portugal","Coimbra ceramics and craft","Must in Coimbra","Signed blue-and-white Cerâmica de Coimbra and Portuguese-made gifts","€15–120","Typically daily 10:00–19:00; verify","https://www.google.com/maps/search/?api=1&query=Coimbra+na+Bagagem","https://www.google.com/maps/search/?api=1&query=Coimbra+na+Bagagem"
"Malabar","Rua Ferreira Borges 150 Coimbra Portugal","Regional ceramics","Walk-by optional","Hand-painted Coimbra faience and azulejos on the same shopping street","€15–100","Hours not firmly verified; check while passing","https://www.google.com/maps/search/?api=1&query=Malabar+Rua+Ferreira+Borges+Coimbra","https://www.google.com/maps/search/?api=1&query=Malabar+Rua+Ferreira+Borges+Coimbra"
"Faireal — Faianças Regionais de Alcobaça","EN8 Alcobaca Portugal","Artisan ceramics workshop","Must if ceramics matter","Family-run hand-painted Azul Alcobaça faience made by traditional method","€20–150","Mon–Sat approximately 08:00–18:00; verify","https://www.google.com/maps/search/?api=1&query=Faireal+Faiancas+Regionais+de+Alcobaca","https://www.google.com/maps/search/?api=1&query=Faireal+Faiancas+Regionais+de+Alcobaca"
"SC Ceramics","Casal da Charneca Alcobaca Portugal","Artisan ceramics","Appointment optional","One-off hand-painted ceramic pieces from a small workshop","€20–200","Call before visiting","https://www.google.com/maps/search/?api=1&query=SC+Ceramics+Silverio+Coelho+Alcobaca","tel:+351262509400"
"Grande Livraria de Santiago","Largo de Santiago Obidos Portugal","Bookstore in historic church","Must in Óbidos","Books and design browsing inside a converted 13th-century church","€10–40","Daily approximately 10:00–19:00","https://www.google.com/maps/search/?api=1&query=Grande+Livraria+de+Santiago+Obidos","https://obidosvilaliteraria.com/"
"Lucky Lux","Rua Sargento Mor 11 Coimbra Portugal","Independent record shop","HIDDEN TREASURE · HIGH CONFIDENCE","Collector-run shop with rare pressings and knowledgeable fado, jazz, Brazilian, African, and rock curation.","€10–40","Mon–Fri 10:00–19:00; Sat to 18:00","https://www.google.com/maps/search/?api=1&query=Lucky+Lux+Rua+Sargento+Mor+11+Coimbra","https://www.facebook.com/LuckyLuxCoimbra/"
"Porta85","Rua Direita 85 Obidos Portugal","Craft and design concept shop","HIDDEN TREASURE · MEDIUM CONFIDENCE","Curated jewelry from reclaimed watch parts, ceramics, wood, and small design-forward gifts on the existing Óbidos route.","€15–100","Reported daily 09:00–20:00; verify on arrival","https://www.google.com/maps/search/?api=1&query=Porta85+Rua+Direita+85+Obidos","https://www.google.com/maps/search/?api=1&query=Porta85+Rua+Direita+85+Obidos"
