"Name","Location","Region / Category","Guide status","Why it is listed","Google Maps URL","Guide / booking URL"
"Casa Bastos","Casa Bastos Lamego","LAMEGO · TRADITIONAL","Guide recommendation","Traditional northern cooking and a practical early lunch between the cathedral and Coimbra drive.","https://www.google.com/maps/search/?api=1&query=Casa+Bastos+Lamego","https://www.google.com/maps/search/?api=1&query=Casa+Bastos+Lamego"
"Casa de Casal de Loivos","Casa de Casal de Loivos Portugal","Casal de Loivos · hotel dinner","Confirmed Sep 21","Confirmed family-style three-course dinner at the hotel.","https://www.google.com/maps/search/?api=1&query=Casa+de+Casal+de+Loivos","https://casadecasaldeloivos.com/en/"
"Dux Taberna Urbana","Dux Taberna Urbana Coimbra","COIMBRA · MODERN PORTUGUESE","Guide recommendation","Bookable, contemporary Portuguese plates and a useful Dão/Bairrada wine list.","https://www.google.com/maps/search/?api=1&query=Dux+Taberna+Urbana+Coimbra","https://resy.com/cities/porto-portugal/venues/dux-taberna-urbana"
"Pastelaria Alcôa","Pastelaria Alcoa Alcobaca Portugal","Alcobaça · convent sweets","Regional specialty","Convent-sweet specialist opposite Alcobaça Monastery.","https://www.google.com/maps/search/?api=1&query=Pastelaria+Alcoa+Alcobaca","http://www.pastelaria-alcoa.com/"
"Pastelaria Briosa","Pastelaria Briosa Coimbra Portugal","Coimbra · bakery","Regional specialty","Historic pastry stop for pastéis de Santa Clara and convent sweets.","https://www.google.com/maps/search/?api=1&query=Pastelaria+Briosa+Coimbra","https://www.google.com/maps/search/?api=1&query=Pastelaria+Briosa+Coimbra"
"Pastelaria da Sé Casa das Bôlas","Pastelaria da Se Casa das Bolas Lamego Portugal","Lamego · bakery","Regional specialty","Best stop for a slice of savory bôla de Lamego.","https://www.google.com/maps/search/?api=1&query=Pastelaria+da+Se+Casa+das+Bolas+Lamego","https://www.google.com/maps/search/?api=1&query=Pastelaria+da+Se+Casa+das+Bolas+Lamego"
"Sitiado","Sitiado Nazare","NAZARÉ SÍTIO · LUNCH","Guide recommendation","Creative local seafood in the upper village, avoiding a parking move between lunch and the headland.","https://www.google.com/maps/search/?api=1&query=Sitiado+Nazare","https://www.google.com/maps/search/?api=1&query=Sitiado+Nazare"
"Taberna d’Adélia","Taberna d Adelia Nazare Portugal","Nazaré · traditional seafood","Traditional alternative","Traditional option when caldeirada matters more than Sítio logistics.","https://www.google.com/maps/search/?api=1&query=Taberna+d%27Adelia+Nazare","https://www.google.com/maps/search/?api=1&query=Taberna+d%27Adelia+Nazare"
"Vindouro","Vindouro Lamego","LAMEGO · MODERN REGIONAL","Guide recommendation","More contemporary setting and wine-minded menu than a traditional tasca.","https://www.google.com/maps/search/?api=1&query=Vindouro+Lamego","https://www.google.com/maps/search/?api=1&query=Vindouro+Lamego"
"Zé Manel dos Ossos","Ze Manel dos Ossos Coimbra","COIMBRA · TASCA","Guide recommendation","Tiny, idiosyncratic Coimbra institution for chanfana and rustic dishes.","https://www.google.com/maps/search/?api=1&query=Ze+Manel+dos+Ossos+Coimbra","https://www.google.com/maps/search/?api=1&query=Ze+Manel+dos+Ossos+Coimbra"
"Kulina","Rua da Olaria 22 Lamego Portugal","LAMEGO · MODERN TASCA","HIDDEN TREASURE · TIMING CONFLICT","Young local team modernizing Lamego and Porto classics with a small-producer Douro wine list; noon opening is tight for the Coimbra library schedule.","https://www.google.com/maps/search/?api=1&query=Kulina+Rua+da+Olaria+22+Lamego","https://www.google.com/maps/search/?api=1&query=Kulina+Rua+da+Olaria+22+Lamego"
"Jardim da Zita","Rua da Pereira 2 Lamego Portugal","LAMEGO · HOME-STYLE PETISCOS","HIDDEN TREASURE · TIMING CONFLICT","Warm, traditional sharing plates and regional meats praised in Portuguese food coverage; noon opening makes the active road schedule tight.","https://www.google.com/maps/search/?api=1&query=Jardim+da+Zita+Lamego","https://jardimdazita.pt/"
"Somm Wine Atelier","Rua Ferreira Borges 112 Coimbra Portugal","COIMBRA · WINE BAR","HIDDEN TREASURE · MEDIUM-HIGH CONFIDENCE","Sommelier-led flights and light petiscos directly on the central shopping route; possible post-dinner glass if energy remains.","https://www.google.com/maps/search/?api=1&query=Somm+Wine+Atelier+Coimbra","https://www.instagram.com/somm.wine.atelier/"
