"Name","Location","Category","Priority","What to buy","Price band","Hours / caveat","Google Maps URL","Official URL"
"ISTO. Príncipe Real","Praca do Principe Real 26 Lisbon Portugal","Premium permanent basics","Top basics pick","Transparent-cost organic cotton tees, overshirts, chinos, knitwear, and repairable essentials","€35–150","Verify current Embaixada-area location before visit","https://www.google.com/maps/search/?api=1&query=ISTO+Principe+Real+Lisbon","https://isto.pt/"
"Loja Real","Praca do Principe Real 20 Lisbon Portugal","Family concept boutique","Must visit","Well-curated menswear, womenswear, childrenswear, and home from independent labels","€30–200","Daily approximately 10:30–20:00","https://www.google.com/maps/search/?api=1&query=Loja+Real+Principe+Real+Lisbon","https://www.instagram.com/lojareal/"
"Latitid","Rua Dom Pedro V 69 Lisbon Portugal","Portuguese womenswear and resortwear","Must for Kaya","Portuguese-made swim and resortwear in a newly relocated standalone boutique","€60–180","Mon–Sat approximately 10:30–20:00; Sun 11:00–19:00","https://www.google.com/maps/search/?api=1&query=Latitid+Rua+Dom+Pedro+V+69+Lisbon","https://latitid.com/"
"Claus Porto Lisbon","Rua da Misericordia 135 Lisbon Portugal","Heritage grooming","Must gift stop","Apothecary soaps, colognes, and home fragrance","€12–90","Daily approximately 10:00–19:00","https://www.google.com/maps/search/?api=1&query=Claus+Porto+Rua+da+Misericordia+Lisbon","https://clausporto.com/"
"A Vida Portuguesa — Chiado","Rua Nova do Almada 72 Lisbon Portugal","Portuguese-made goods","Must gift stop","Best one-stop assortment of national soaps, food, ceramics, linens, and stationery","€5–80","Mon–Sat 10:00–19:30; Sun 11:00–19:30","https://www.google.com/maps/search/?api=1&query=A+Vida+Portuguesa+Rua+Nova+do+Almada+Lisbon","https://avidaportuguesa.com/"
"Conserveira de Lisboa","Rua dos Bacalhoeiros 34 Lisbon Portugal","Historic canned-fish shop","Must food gift","Beautiful own-label sardines, tuna, and conservas in a working 1930s shop","€3–12","Mon–Sat 10:00–19:00; closed Sun","https://www.google.com/maps/search/?api=1&query=Conserveira+de+Lisboa","https://conserveiradelisboa.pt/"
"Garrafeira Nacional","Rua de Santa Justa 18 Lisbon Portugal","Historic wine shop","Must for wine","Deep Portuguese selection, mature bottles, Port, Madeira, and knowledgeable staff","€10–150+","Mon–Fri 09:30–19:30; Sat to 19:00","https://www.google.com/maps/search/?api=1&query=Garrafeira+Nacional+Rua+de+Santa+Justa+Lisbon","https://www.garrafeiranacional.com/"
"Cutipol","Rua do Alecrim 105 Lisbon Portugal","Minimalist tableware","Must design stop","Quiet-luxury Portuguese flatware and table objects","€40–300+","Mon–Sat 10:00–14:00 & 15:00–19:00","https://www.google.com/maps/search/?api=1&query=Cutipol+Rua+do+Alecrim+Lisbon","https://www.cutipol.pt/"
"Chapelaria Azevedo Rua","Praca Dom Pedro IV 69 Lisbon Portugal","Heritage hatmaker","Heritage accessory pick","Flat caps, felt hats, and panamas from Portugal’s oldest hat shop","€40–200","Mon–Sat 10:00–19:00","https://www.google.com/maps/search/?api=1&query=Chapelaria+Azevedo+Rua+Lisbon","https://azevedorua.pt/"
"Cortiço & Netos","Rua Maria Andrade 37D Lisbon Portugal","Vintage Portuguese tiles","Must home/design stop","Original discontinued factory azulejos rather than reproduction souvenirs","€2–100+","Mon–Sat 10:00–13:00 & 14:00–19:00","https://www.google.com/maps/search/?api=1&query=Cortico+e+Netos+Lisbon","https://www.corticoenetos.com/"
