"Name","Location","Region / Category","Guide status","Why it is listed","Google Maps URL","Guide / booking URL"
"Casa Bastos","Casa Bastos Lamego","LAMEGO · TRADITIONAL","Guide recommendation","Traditional northern cooking and a practical early lunch between the cathedral and Coimbra drive.","https://www.google.com/maps/search/?api=1&query=Casa+Bastos+Lamego","https://www.google.com/maps/search/?api=1&query=Casa+Bastos+Lamego"
"Casa de Casal de Loivos","Casa de Casal de Loivos Portugal","Casal de Loivos · hotel dinner","Confirmed Sep 21","Confirmed family-style three-course dinner at the hotel.","https://www.google.com/maps/search/?api=1&query=Casa+de+Casal+de+Loivos","https://casadecasaldeloivos.com/en/"
"Dux Taberna Urbana","Dux Taberna Urbana Coimbra","COIMBRA · MODERN PORTUGUESE","Guide recommendation","Bookable, contemporary Portuguese plates and a useful Dão/Bairrada wine list.","https://www.google.com/maps/search/?api=1&query=Dux+Taberna+Urbana+Coimbra","https://resy.com/cities/porto-portugal/venues/dux-taberna-urbana"
"Pastelaria Alcôa","Pastelaria Alcoa Alcobaca Portugal","Alcobaça · convent sweets","Regional specialty","Convent-sweet specialist opposite Alcobaça Monastery.","https://www.google.com/maps/search/?api=1&query=Pastelaria+Alcoa+Alcobaca","http://www.pastelaria-alcoa.com/"
"Pastelaria Briosa","Pastelaria Briosa Coimbra Portugal","Coimbra · bakery","Regional specialty","Historic pastry stop for pastéis de Santa Clara and convent sweets.","https://www.google.com/maps/search/?api=1&query=Pastelaria+Briosa+Coimbra","https://www.google.com/maps/search/?api=1&query=Pastelaria+Briosa+Coimbra"
"Pastelaria da Sé Casa das Bôlas","Pastelaria da Se Casa das Bolas Lamego Portugal","Lamego · bakery","Regional specialty","Best stop for a slice of savory bôla de Lamego.","https://www.google.com/maps/search/?api=1&query=Pastelaria+da+Se+Casa+das+Bolas+Lamego","https://www.google.com/maps/search/?api=1&query=Pastelaria+da+Se+Casa+das+Bolas+Lamego"
"Sitiado","Sitiado Nazare","NAZARÉ SÍTIO · LUNCH","Guide recommendation","Creative local seafood in the upper village, avoiding a parking move between lunch and the headland.","https://www.google.com/maps/search/?api=1&query=Sitiado+Nazare","https://www.google.com/maps/search/?api=1&query=Sitiado+Nazare"
"Taberna d’Adélia","Taberna d Adelia Nazare Portugal","Nazaré · traditional seafood","Traditional alternative","Traditional option when caldeirada matters more than Sítio logistics.","https://www.google.com/maps/search/?api=1&query=Taberna+d%27Adelia+Nazare","https://www.google.com/maps/search/?api=1&query=Taberna+d%27Adelia+Nazare"
"Vindouro","Vindouro Lamego","LAMEGO · MODERN REGIONAL","Guide recommendation","More contemporary setting and wine-minded menu than a traditional tasca.","https://www.google.com/maps/search/?api=1&query=Vindouro+Lamego","https://www.google.com/maps/search/?api=1&query=Vindouro+Lamego"
"Zé Manel dos Ossos","Ze Manel dos Ossos Coimbra","COIMBRA · TASCA","Guide recommendation","Tiny, idiosyncratic Coimbra institution for chanfana and rustic dishes.","https://www.google.com/maps/search/?api=1&query=Ze+Manel+dos+Ossos+Coimbra","https://www.google.com/maps/search/?api=1&query=Ze+Manel+dos+Ossos+Coimbra"
"A Cozinha Sr. Lisboa","A Cozinha Sr Lisboa","AVENIDA / ANJOS EDGE · PORTUGUESE","RECEIVED RECOMMENDATION · PRIORITY","Intimate modern-Portuguese sharing plates in a roughly 24-seat room with a local, personal feel.","https://www.google.com/maps/search/?api=1&query=A+Cozinha+Sr+Lisboa","https://www.srlisboa.pt/a-cozinha"
"A Ginjinha","A Ginjinha Rossio Lisbon Portugal","Rossio · ginjinha","Regional specialty","Historic standing bar for Lisbon-style cherry liqueur.","https://www.google.com/maps/search/?api=1&query=A+Ginjinha+Rossio+Lisbon","https://www.google.com/maps/search/?api=1&query=A+Ginjinha+Rossio+Lisbon"
"A Nossa Casa","Rua da Atalaia 31, Lisbon, Portugal","BAIRRO ALTO · PORTUGUESE SHARING","CORE BOOKING · SEP 25 DINNER","Intimate Portuguese sharing plates with seasonal, creative touches in a small Bairro Alto room.","https://www.google.com/maps/place/A+Nossa+Casa/@38.7118452,-9.149708,17z/data=!4m6!3m5!1s0xd19353946e25371:0xc085f0ed901c4ee0!8m2!3d38.7118452!4d-9.1449444!16s%2Fg%2F11f9z8g95f","https://linktr.ee/_ANossaCasa"
"Boavista Social Club","Boavista Social Club Lisbon","CAIS DO SODRÉ · DINNER + VINYL","RECEIVED RECOMMENDATION","Seasonal sharing plates with vinyl DJs and more of a music-bar pulse than a conventional restaurant.","https://www.google.com/maps/search/?api=1&query=Boavista+Social+Club+Lisbon","https://boavistasocialclublx.com/"
"Canalha","Canalha Lisbon","BELÉM/ALCÂNTARA · MODERN","CORE BOOKING · SEP 24 LUNCH","Ingredient-first Portuguese cooking near Belém, with a bustling counter-and-grill sensibility.","https://www.google.com/maps/search/?api=1&query=Canalha+Lisbon","https://www.canalha.pt/homepage/"
"Cervejaria Ramiro","Cervejaria Ramiro Lisbon","INTENDENTE · SEAFOOD","CORE BOOKING · SEP 24 DINNER","The classic shellfish feast: clams, prawns, crab, barnacles, then a prego.","https://www.google.com/maps/search/?api=1&query=Cervejaria+Ramiro+Lisbon","https://www.cervejariaramiro.com/"
"Cotidiano","Cotidiano Chiado Lisbon","BAIXA / CHIADO · BRUNCH","RECEIVED RECOMMENDATION · BACKUP","Convenient all-day brunch for avocado toast, eggs Benedict, açaí, and health-conscious staples.","https://www.google.com/maps/search/?api=1&query=Cotidiano+Chiado+Lisbon","https://cotidiano.pt/"
"Da Noi","Da Noi Lisboa","MADRAGOA · ITALIAN/MEDITERRANEAN","RECEIVED RECOMMENDATION · PRIORITY","Intimate, wine-forward Italian/Mediterranean sharing plates with a seasonal, inventive approach.","https://www.google.com/maps/search/?api=1&query=Da+Noi+Lisboa","https://danoilisboa.com/"
"Damas","Damas Rua da Voz do Operario Lisbon","GRAÇA · DINNER + LIVE MUSIC","RECEIVED RECOMMENDATION · PRIORITY","Mediterranean/Portuguese small plates, natural wine, and a real local arts-and-live-music crowd.","https://www.google.com/maps/search/?api=1&query=Damas+Rua+da+Voz+do+Operario+Lisbon","https://www.google.com/maps/search/?api=1&query=Damas+Rua+da+Voz+do+Operario+Lisbon"
"Dear Breakfast","Dear Breakfast Lisbon","SEVERAL NEIGHBORHOODS · BRUNCH","RECEIVED RECOMMENDATION · BACKUP","Stylish egg-forward brunch with Turkish eggs, pancakes, and açaí in São Bento, Chiado, Alfama, and Bica.","https://www.google.com/maps/search/?api=1&query=Dear+Breakfast+Lisbon","https://dearbreakfastlisbon.tumblr.com/locations"
"Farès","Fares Lisboa Rua de Sao Paulo","CAIS DO SODRÉ · MIDDLE EASTERN","RECEIVED RECOMMENDATION · PRIORITY","Middle Eastern/Mediterranean sharing plates, strong vegetarian coverage, and inventive cocktails in a lively central room.","https://www.google.com/maps/search/?api=1&query=Fares+Lisboa+Rua+de+Sao+Paulo","https://restaurants.umai.io/restaurants/fares"
"Fauna & Flora","Fauna Flora Santos Lisbon","SANTOS / ANJOS · BRUNCH","RECEIVED RECOMMENDATION","Plant-forward, photogenic all-day brunch with smoothie bowls, pancakes, eggs, and good vegan/GF coverage.","https://www.google.com/maps/search/?api=1&query=Fauna+Flora+Santos+Lisbon","https://www.faunafloralisboa.com/"
"Faz Frio","Faz Frio Lisbon","PRÍNCIPE REAL · HISTORIC TABERNA","RECEIVED RECOMMENDATION · CAVEAT","Historic taberna atmosphere with bacalhau, octopus salad, pork cheeks, and peixinhos da horta.","https://www.google.com/maps/search/?api=1&query=Faz+Frio+Lisbon","https://fazfrio.pt/"
"Heim Café","Heim Cafe Lisbon","SANTOS · BRUNCH","RECEIVED RECOMMENDATION · PRIORITY","The strongest all-around brunch recommendation: egg dishes, pancakes, avocado toast, and specialty coffee.","https://www.google.com/maps/search/?api=1&query=Heim+Cafe+Lisbon","https://www.instagram.com/heimcafe/"
"Kefi Greek Bistro","Kefi Greek Bistro Lisbon","ESTRELA · GREEK LUNCH","RECEIVED RECOMMENDATION","Modern Greek mezze, souvlaki, dolmas, calamari, and loukoumades beside the Estrela area.","https://www.google.com/maps/search/?api=1&query=Kefi+Greek+Bistro+Lisbon","https://www.instagram.com/kefi.lisbon/"
"Leonetta","Leonetta Lisbon","BAIRRO ALTO · ITALIAN","RECEIVED RECOMMENDATION","Warm, pasta-focused Italian with vegetarian and vegan options near Príncipe Real.","https://www.google.com/maps/search/?api=1&query=Leonetta+Lisbon","https://reservation.umai.io/en/widget/leonetta"
"Mila Café","Mila Cafe Santos Lisbon","SANTOS · BRUNCH","RECEIVED RECOMMENDATION","Relaxed all-day brunch, specialty coffee, salad bar, terrace, and generally shorter queues than Heim.","https://www.google.com/maps/search/?api=1&query=Mila+Cafe+Santos+Lisbon","https://milas.substack.com/"
"Nat’elier Pastel de Nata Masterclass","Rua de Santa Justa 87, Lisbon, Portugal","BAIXA · CONFIRMED CLASS","CONFIRMED · SEP 25 13:30","Hands-on pastel de nata class in a working downtown bakery; allow roughly two hours.","https://www.google.com/maps/search/?api=1&query=Nat%27elier+Rua+de+Santa+Justa+87+Lisbon","https://natelier.pt/en/masterclass/"
"O Velho Eurico","O Velho Eurico Lisbon","MOURARIA · NEO-TASCA","STRONG ALTERNATIVE · NOT CORE","Lively, modernized tasca cooking without sanding away Lisbon’s personality.","https://www.google.com/maps/search/?api=1&query=O+Velho+Eurico+Lisbon","https://www.instagram.com/ovelhoeurico/"
"Oyster & Margarita","Oyster and Margarita Lisbon","PRÍNCIPE REAL · OYSTERS + COCKTAILS","RECEIVED RECOMMENDATION","Tiny seafood-and-cocktail bar pairing Setúbal oysters with classic, spicy, and mezcal margaritas.","https://www.google.com/maps/search/?api=1&query=Oyster+and+Margarita+Lisbon","https://www.instagram.com/oysterandmargarita/"
"Palácio Chiado","Palacio Chiado Lisbon","CHIADO · PALACE SETTING","RECEIVED RECOMMENDATION · DRINKS ONLY","Grand 18th-century interiors and spectacle-led dining in central Chiado.","https://www.google.com/maps/search/?api=1&query=Palacio+Chiado+Lisbon","https://www.palaciochiado.pt/en/restaurant/"
"Palácio do Grilo","Palacio do Grilo Lisbon","BEATO · DINNER PERFORMANCE","RECEIVED RECOMMENDATION · HIGH FIT","A 350-year-old palace where performers move through the rooms during dinner; theatrical, romantic, and genuinely unusual.","https://www.google.com/maps/search/?api=1&query=Palacio+do+Grilo+Lisbon","https://palaciogrilo.com/en/"
