"Name","Location","Category","Priority","What to buy","Price band","Hours / caveat","Google Maps URL","Official URL"
"La Paz","Rua da Reboleira 23 Porto Portugal","Menswear heritage/workwear","Top menswear pick","Atlantic chore coats, fisherman knits, striped tees, trousers, and boots","€60–350","Brand confirms flagship; verify day-specific hours","https://www.google.com/maps/search/?api=1&query=La+Paz+Rua+da+Reboleira+23+Porto","https://lapaz.pt/pages/stores"
"Portuguese Flannel","Largo Alberto Pimentel 1 Porto Portugal","Menswear heritage shirting","Top menswear pick","Portuguese-mill flannel shirts, chore jackets, knitwear, and trousers","€70–220","Daily 11:00–19:00","https://www.google.com/maps/search/?api=1&query=Portuguese+Flannel+Largo+Alberto+Pimentel+Porto","https://www.portugueseflannel.com/pages/porto-store"
"LOT — Labels of Tomorrow","Rua de Jose Falcao 144 Porto Portugal","Menswear, womenswear, design, gallery","Must visit","Large independent concept store mixing Portuguese labels, international brands, art, and design","€40–300","Mon–Sat 10:00–20:00; Sun 10:00–19:00","https://www.google.com/maps/search/?api=1&query=LOT+Labels+of+Tomorrow+Porto","https://thefeetingroom.com/pages/lotlabelsoftomorrow"
"Claus Porto","Rua das Flores 22 Porto Portugal","Heritage grooming","Must gift stop","Apothecary soaps, colognes, shaving, and home fragrance with no-logo luxury appeal","€12–90","Daily; typically 10:00–19:00 or later","https://www.google.com/maps/search/?api=1&query=Claus+Porto+Rua+das+Flores+22","https://clausporto.com/"
"A Vida Portuguesa — São Bento","Sao Bento Station Porto Portugal","Portuguese-made goods","Must gift stop","Curated soaps, canned fish, ceramics, stationery, linens, and pantry gifts","€5–80","Daily; station shop generally open late","https://www.google.com/maps/search/?api=1&query=A+Vida+Portuguesa+Sao+Bento+Porto","https://avidaportuguesa.com/"
"ISTO. Porto","Rua 31 de Janeiro 221 Porto Portugal","Premium permanent basics","Top basics pick","Transparent-cost organic cotton tees, overshirts, chinos, knitwear, and essentials","€35–150","Mon–Sat approximately 11:00–19:00; closed Sun","https://www.google.com/maps/search/?api=1&query=ISTO+Rua+31+de+Janeiro+221+Porto","https://isto.pt/"
"Numero237","Rua de Miguel Bombarda 237 Porto Portugal","Curated designer vintage","Strong optional","Archive Comme des Garçons, Issey Miyake, Helmut Lang, ceramics, and photo books","€40–400","Tue–Sat approximately 11:00–18:00; closed Sun–Mon","https://www.google.com/maps/search/?api=1&query=Numero237+Porto","https://www.instagram.com/numero237.porto/"
"Coração Alecrim","Travessa de Cedofeita 28 Porto Portugal","Slow home and vintage","Strong optional","Upcycled furnishings, natural cosmetics, home objects, and vintage atmosphere","€10–150","Mon–Sat approximately 11:00–19:00; closed Sun","https://www.google.com/maps/search/?api=1&query=Coracao+Alecrim+Porto","https://www.instagram.com/coracaoalecrim/"
"Cork Matters","Rua do Rosario 143 Porto Portugal","Design-forward cork","Strong optional","Better-designed cork bags and home objects than tourist-strip cork shops","€20–150","Mon, Wed–Sat approximately 11:00–19:00; closed Tue/Sun","https://www.google.com/maps/search/?api=1&query=Cork+Matters+Rua+do+Rosario+Porto","https://www.instagram.com/corkmatters/"
"Livraria Lello","Rua das Carmelitas 144 Porto Portugal","Historic bookstore","Sightseeing plus shopping","Ticketed neo-Gothic bookstore; entry credit can be applied to a book","€8–40","Daily 09:00–19:30","https://www.google.com/maps/search/?api=1&query=Livraria+Lello+Porto","https://www.livrarialello.pt/en/"
"Araucana","Rua dos Caldeireiros 108 Porto Portugal","Slow fashion and natural fabrics","HIDDEN TREASURE · HIGH CONFIDENCE","Calm independent boutique with sustainable Portuguese labels, natural fabrics, and an in-house upcycling atelier.","€100–350","Tue–Thu 12:00–18:00; Fri–Sat to 20:00; closed Sun–Mon","https://www.google.com/maps/search/?api=1&query=Araucana+Rua+dos+Caldeireiros+108+Porto","https://araucana.pt/"
"Loja da Saudade","Rua de Tras 39 Porto Portugal","Portuguese heritage textiles and hats","HIDDEN TREASURE · HIGH CONFIDENCE","Made-to-fit felt and straw hats plus embroidery, linens, basketry, and traditional textiles.","€40–1,200","Mon–Sat 11:30–19:30","https://www.google.com/maps/search/?api=1&query=Loja+da+Saudade+Rua+de+Tras+39+Porto","https://lojadasaudade.pt/"
